variable,relative_importance,scaled_importance,percentage
index.num,1,1,0.115869059061548
week,0.955513715744019,0.955513715744019,0.110714475163663
SMS,0.694874405860901,0.694874405860901,0.080514443573055
Time,0.619884252548218,0.619884252548218,0.0718254050698332
wday.lbl.Monday,0.566215515136719,0.566215515136719,0.0656068589649415
quarter,0.444069892168045,0.444069892168045,0.0514539605630746
wday.lbl.Sunday,0.408821731805801,0.408821731805801,0.0473697893882509
wday.lbl.Saturday,0.405972808599472,0.405972808599472,0.0470396873369949
wday.lbl.Tuesday,0.398118793964386,0.398118793964386,0.0461296500513718
wday.lbl.Thursday,0.395458072423935,0.395458072423935,0.045821354750055
wday.lbl.Wednesday,0.385093450546265,0.385093450546265,0.0446204157655606
Temp,0.376710921525955,0.376710921525955,0.0436491400154212
wday.lbl.Friday,0.376506835222244,0.376506835222244,0.0436254927274429
subway,0.353458344936371,0.353458344936371,0.0409548858452295
day,0.283498138189316,0.283498138189316,0.0328486625176968
bus,0.271368116140366,0.271368116140366,0.0314431682764891
half,0.244094654917717,0.244094654917717,0.0282830179872692
stayhome,0.243860065937042,0.243860065937042,0.0282558363828122
weekends,0.206911981105804,0.206911981105804,0.0239746965592904
wday.lbl.missing(NA),0,0,0
