date,value,new_deaths,new_cases_per_million,new_deaths_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,daily_test,daily_positive_percentage,Temp,SMS,stayhome,subway,bus
2020-03-11,2,0,0.197,0,36.11,10139175,119.309,32.4,6.018,3.871,15847.419,559.812,7.11,0.3,42.5,83.241,4.7,73,1538,0,15,0,0,0,0
2020-03-12,4,0,0,0,36.11,10139175,119.309,32.4,6.018,3.871,15847.419,559.812,7.11,0.3,42.5,83.241,4.7,73,1538,0,13,0,0,0,0
2020-03-13,6,0,0.592,0,52.78,10139175,119.309,32.4,6.018,3.871,15847.419,559.812,7.11,0.3,42.5,83.241,4.7,73,1538,0,18,0,0,0,0
2020-03-14,19,0,0.592,0,52.78,10139175,119.309,32.4,6.018,3.871,15847.419,559.812,7.11,0.3,42.5,83.241,4.7,73,1538,0.0123537061118336,17,0,0,0,0
2020-03-15,3,0,0,0,52.78,10139175,119.309,32.4,6.018,3.871,15847.419,559.812,7.11,0.3,42.5,83.241,4.7,73,1538,0.00130039011703511,15,0,0,0,0
2020-03-16,3,0,0,0,52.78,10139175,119.309,32.4,6.018,3.871,15847.419,559.812,7.11,0.3,42.5,83.241,4.7,73,1538,0,11,0,0,0,0
2020-03-17,9,0,0.888,0,52.78,10139175,119.309,32.4,6.018,3.871,15847.419,559.812,7.11,0.3,42.5,83.241,4.7,73,1538,0.00390117035110533,8,0,0,0,0
2020-03-18,6,0,0.592,0,61.11,10139175,119.309,32.4,6.018,3.871,15847.419,559.812,7.11,0.3,42.5,83.241,4.7,73,1538,0,9,0,0,0,0
2020-03-19,10,0,0.986,0,61.11,10139175,119.309,32.4,6.018,3.871,15847.419,559.812,7.11,0.3,42.5,83.241,4.7,73,1538,0.00650195058517555,9,0,0,0,0
2020-03-20,4,1,0,0.099,61.11,10139175,119.309,32.4,6.018,3.871,15847.419,559.812,7.11,0.3,42.5,83.241,4.7,73,1538,0,10,0,0,0,0
2020-03-21,9,0,0.888,0,61.11,10139175,119.309,32.4,6.018,3.871,15847.419,559.812,7.11,0.3,42.5,83.241,4.7,73,1538,0.005851755526658,14,0,0,0,0
2020-03-22,12,0,1.184,0,68.52,10139175,119.309,32.4,6.018,3.871,15847.419,559.812,7.11,0.3,42.5,83.241,4.7,73,1538,0.00780234070221066,13,0,0,0,0
2020-03-23,7,0,0.69,0,68.52,10139175,119.309,32.4,6.018,3.871,15847.419,559.812,7.11,0.3,42.5,83.241,4.7,73,1538,0.00455136540962289,14,0,0,0,0
2020-03-24,15,0,1.479,0,68.52,10139175,119.309,32.4,6.018,3.871,15847.419,559.812,7.11,0.3,42.5,83.241,4.7,73,1538,0.00975292587776333,18,1,0,0,0
2020-03-25,6,1,0.592,0.099,68.52,10139175,119.309,32.4,6.018,3.871,15847.419,559.812,7.11,0.3,42.5,83.241,4.7,73,1538,0.00390117035110533,14,1,0,0,0
2020-03-26,29,1,2.86,0.099,68.52,10139175,119.309,32.4,6.018,3.871,15847.419,559.812,7.11,0.3,42.5,83.241,4.7,73,1538,0.0188556566970091,14,1,0,0,0
2020-03-27,43,0,4.241,0,68.52,10139175,119.309,32.4,6.018,3.871,15847.419,559.812,7.11,0.3,42.5,83.241,4.7,73,1538,0.0279583875162549,16,1,0,0,0
2020-03-28,17,1,1.677,0.099,68.52,10139175,119.309,32.4,6.018,3.871,15847.419,559.812,7.11,0.3,42.5,83.241,4.7,73,1538,0.0110533159947984,16,1,0,0,0
2020-03-29,27,0,2.663,0,68.52,10139175,119.309,32.4,6.018,3.871,15847.419,559.812,7.11,0.3,42.5,83.241,4.7,73,1538,0.017555266579974,19,1,0,0,0
2020-03-30,64,0,6.312,0,88.89,10139175,119.309,32.4,6.018,3.871,15847.419,559.812,7.11,0.3,42.5,83.241,4.7,73,1538,0.0416124837451235,16,1,0,0,0
2020-03-31,25,1,2.466,0.099,88.89,10139175,119.309,32.4,6.018,3.871,15847.419,559.812,7.11,0.3,42.5,83.241,4.7,73,1538,0.0156046814044213,17,1,0,1,0
2020-04-01,61,0,6.016,0,88.89,10139175,119.309,32.4,6.018,3.871,15847.419,559.812,7.11,0.3,42.5,83.241,4.7,73,1538,0.0396618985695709,18,1,0,1,0
2020-04-02,41,0,4.044,0,88.89,10139175,119.309,32.4,6.018,3.871,15847.419,559.812,7.11,0.3,42.5,83.241,4.7,73,1538,0.0266579973992198,14,1,0,1,0
2020-04-03,43,0,4.241,0,88.89,10139175,119.309,32.4,6.018,3.871,15847.419,559.812,7.11,0.3,42.5,83.241,4.7,73,1538,0.0279583875162549,12,1,0,1,0
2020-04-04,78,0,7.693,0,88.89,10139175,119.309,32.4,6.018,3.871,15847.419,559.812,7.11,0.3,42.5,83.241,4.7,73,1538,0.0507152145643693,10,1,0,1,0
2020-04-05,63,2,6.214,0.197,88.89,10139175,119.309,32.4,6.018,3.871,15847.419,559.812,7.11,0.3,42.5,83.241,4.7,73,1538,0.040962288686606,18,1,0,1,0
2020-04-06,57,0,5.622,0,88.89,10139175,119.309,32.4,6.018,3.871,15847.419,559.812,7.11,0.3,42.5,83.241,4.7,73,1538,0.0370611183355007,15,1,0,1,0
2020-04-07,76,1,7.496,0.099,88.89,10139175,119.309,32.4,6.018,3.871,15847.419,559.812,7.11,0.3,42.5,83.241,4.7,73,1538,0.0494148244473342,9,1,0,1,0
2020-04-08,105,0,10.356,0,88.89,10139175,119.309,32.4,6.018,3.871,15847.419,559.812,7.11,0.3,42.5,83.241,4.7,73,1538,0.0682704811443433,10,1,0,1,0
2020-04-09,104,1,10.257,0.099,88.89,10139175,119.309,32.4,6.018,3.871,15847.419,559.812,7.11,0.3,42.5,83.241,4.7,73,1538,0.0676202860858258,10,1,0,1,0
2020-04-10,65,1,6.411,0.099,88.89,10139175,119.309,32.4,6.018,3.871,15847.419,559.812,7.11,0.3,42.5,83.241,4.7,73,1538,0.0422626788036411,15,1,0,1,0
